feature,importance
bb_width,0.22459723408326904
volatility_20d,0.21555607826852521
gap,0.2148510179310238
intraday_range,0.21324573355559076
ma20_dev,0.20851923345704568
return_5d,0.2063268852755277
vol_zscore,0.2044589570338013
rsi,0.20106967208261856
return_1d,0.1995328541066762
ret_zscore,0.18565941453434787
atr,0.17722493529614222
