feature,importance
bb_width,0.220198472064246
volatility_20d,0.21560350422504246
vol_zscore,0.21212194178009722
return_5d,0.20808527867385707
gap,0.20259462434191175
ma20_dev,0.20082391118384738
rsi,0.20013182172818447
ret_zscore,0.19936424601478034
intraday_range,0.189714867552817
atr,0.18197613389870207
return_1d,0.16830608419205614
